# bpm: 46.0
# max_angle_deg: 90
# hold_ms: 300
# bus: 1
# addr: 0x40
# channel: 0
# timestamp_start: 2025-10-19 02:26:56.209
# timestamp, ms_since_start, angle_deg
2025-10-19 02:26:56.219,0.000,0
2025-10-19 02:26:56.220,1.109,0
2025-10-19 02:26:56.234,14.328,3
2025-10-19 02:26:56.247,27.756,5
2025-10-19 02:26:56.260,41.084,8
2025-10-19 02:26:56.274,54.785,11
2025-10-19 02:26:56.288,68.277,14
2025-10-19 02:26:56.302,83.088,16
2025-10-19 02:26:56.317,97.261,19
2025-10-19 02:26:56.330,110.534,22
2025-10-19 02:26:56.343,124.139,25
2025-10-19 02:26:56.357,137.394,27
2025-10-19 02:26:56.371,151.855,30
2025-10-19 02:26:56.384,165.069,33
2025-10-19 02:26:56.398,178.264,35
2025-10-19 02:26:56.411,191.435,38
2025-10-19 02:26:56.424,204.619,41
2025-10-19 02:26:56.437,217.810,44
2025-10-19 02:26:56.450,230.999,46
2025-10-19 02:26:56.464,244.248,49
2025-10-19 02:26:56.477,257.437,52
2025-10-19 02:26:56.490,270.560,55
2025-10-19 02:26:56.503,284.053,57
2025-10-19 02:26:56.517,297.420,60
2025-10-19 02:26:56.530,310.902,63
2025-10-19 02:26:56.544,324.459,65
2025-10-19 02:26:56.557,338.227,68
2025-10-19 02:26:56.571,351.762,71
2025-10-19 02:26:56.584,365.196,74
2025-10-19 02:26:56.598,378.664,76
2025-10-19 02:26:56.613,393.546,79
2025-10-19 02:26:56.627,407.956,82
2025-10-19 02:26:56.641,422.109,85
2025-10-19 02:26:56.655,436.060,87
2025-10-19 02:26:56.669,449.857,90
2025-10-19 02:26:56.683,463.514,90
2025-10-19 02:26:56.697,477.346,88
2025-10-19 02:26:56.710,490.725,86
2025-10-19 02:26:56.724,504.873,85
2025-10-19 02:26:56.737,518.048,83
2025-10-19 02:26:56.751,531.750,81
2025-10-19 02:26:56.765,545.894,79
2025-10-19 02:26:56.778,559.214,77
2025-10-19 02:26:56.792,572.656,76
2025-10-19 02:26:56.806,587.137,74
2025-10-19 02:26:56.820,600.746,72
2025-10-19 02:26:56.834,614.870,70
2025-10-19 02:26:56.849,629.672,68
2025-10-19 02:26:56.864,645.433,67
2025-10-19 02:26:56.880,660.574,65
2025-10-19 02:26:56.895,675.848,63
2025-10-19 02:26:56.910,690.756,61
2025-10-19 02:26:56.924,704.680,59
2025-10-19 02:26:56.937,718.157,58
2025-10-19 02:26:56.951,731.746,56
2025-10-19 02:26:56.965,745.414,54
2025-10-19 02:26:56.978,758.891,52
2025-10-19 02:26:56.991,772.163,50
2025-10-19 02:26:57.005,785.896,49
2025-10-19 02:26:57.019,800.068,47
2025-10-19 02:26:57.033,813.740,45
2025-10-19 02:26:57.047,827.431,43
2025-10-19 02:26:57.060,841.152,41
2025-10-19 02:26:57.074,854.878,40
2025-10-19 02:26:57.088,869.315,38
2025-10-19 02:26:57.103,883.611,36
2025-10-19 02:26:57.117,897.365,34
2025-10-19 02:26:57.130,910.664,32
2025-10-19 02:26:57.143,924.043,31
2025-10-19 02:26:57.157,938.091,29
2025-10-19 02:26:57.171,951.835,27
2025-10-19 02:26:57.186,966.392,25
2025-10-19 02:26:57.199,979.709,23
2025-10-19 02:26:57.213,993.585,22
2025-10-19 02:26:57.226,1007.072,20
2025-10-19 02:26:57.240,1020.583,18
2025-10-19 02:26:57.254,1034.736,16
2025-10-19 02:26:57.268,1048.463,14
2025-10-19 02:26:57.281,1061.845,13
2025-10-19 02:26:57.295,1075.670,11
2025-10-19 02:26:57.310,1091.351,9
2025-10-19 02:26:57.325,1105.858,7
2025-10-19 02:26:57.339,1119.574,5
