timestamp_ms,elapsed_ms,pix_dist,m_dist
64ms,64,95.749,0.220148
272ms,272,96.749,0.203335
367ms,367,97.180,0.207339
400ms,400,97.022,0.203232
576ms,576,97.226,0.204167
608ms,608,97.000,0.204148
640ms,640,96.945,0.203949
736ms,736,97.166,0.202488
768ms,768,97.126,0.201915
800ms,800,96.607,0.204085
1504ms,1504,95.532,0.204582
1536ms,1536,95.346,0.201427
1616ms,1616,95.766,0.202615
1648ms,1648,95.864,0.203790
1680ms,1680,96.225,0.206603
1712ms,1712,96.372,0.207910
1744ms,1744,96.590,0.204349
1776ms,1776,97.015,0.208010
1840ms,1840,97.241,0.205276
1872ms,1872,97.023,0.203993
1904ms,1904,97.014,0.205151
1968ms,1968,97.073,0.204015
2047ms,2047,96.950,0.203290
2112ms,2112,96.937,0.203736
2144ms,2144,97.159,0.206694
2240ms,2240,97.041,0.203898
2272ms,2272,96.838,0.204056
2336ms,2336,96.292,0.201789
3040ms,3040,95.588,0.206804
3072ms,3072,95.794,0.204593
3120ms,3120,95.962,0.202674
3184ms,3184,96.393,0.204066
3216ms,3216,96.335,0.203657
3248ms,3248,96.625,0.202335
3280ms,3280,97.042,0.204939
3616ms,3616,97.017,0.205975
3744ms,3744,96.984,0.203186
4448ms,4448,95.227,0.199334
4512ms,4512,95.611,0.202696
4608ms,4608,95.870,0.206409
4688ms,4688,96.507,0.208437
4720ms,4720,96.575,0.202990
4816ms,4816,97.442,0.204693
4912ms,4912,96.994,0.210532
4944ms,4944,97.036,0.209037
4976ms,4976,97.022,0.205067
5008ms,5008,97.145,0.210383
5088ms,5088,96.959,0.208482
5120ms,5120,97.116,0.208569
5216ms,5216,97.346,0.209777
5248ms,5248,96.928,0.203298
5280ms,5280,96.858,0.203614
5952ms,5952,95.420,0.199719
6080ms,6080,95.904,0.203646
6144ms,6144,96.281,0.207157
6192ms,6192,96.397,0.202086
6256ms,6256,97.032,0.204155
6288ms,6288,97.088,0.214054
6352ms,6352,97.021,0.204013
6416ms,6416,97.125,0.205557
6448ms,6448,97.090,0.203273
6592ms,6592,97.136,0.204282
6752ms,6752,96.601,0.203863
6784ms,6784,96.628,0.202894
7424ms,7424,95.335,0.199980
7488ms,7488,95.683,0.201257
7520ms,7520,95.620,0.204293
7552ms,7552,95.598,0.202226
7616ms,7616,96.038,0.202432
7648ms,7648,96.335,0.203973
7728ms,7728,96.909,0.203914
7759ms,7759,97.150,0.205149
7856ms,7856,97.113,0.206451
7920ms,7920,96.985,0.204242
7952ms,7952,97.075,0.203980
7984ms,7984,97.092,0.204810
8016ms,8016,97.002,0.207751
8064ms,8064,96.830,0.204512
8096ms,8096,96.870,0.208217
8128ms,8128,96.650,0.203721
8320ms,8320,96.208,0.200848
9056ms,9056,95.845,0.203018
9120ms,9120,96.218,0.210858
9152ms,9152,96.201,0.205985
9328ms,9328,96.954,0.203980
9360ms,9360,97.051,0.203352
9392ms,9392,96.916,0.204960
9424ms,9424,96.888,0.204222
9456ms,9456,97.090,0.209867
9488ms,9488,96.961,0.205756
9728ms,9728,96.823,0.205370
9920ms,9920,95.148,0.199840
