timestamp_ms,elapsed_ms,pix_dist,m_dist
0ms,0,384.602,0.198221
47ms,47,385.500,0.198778
79ms,79,386.332,0.199198
111ms,111,386.611,0.199466
143ms,143,386.382,0.199256
239ms,239,386.486,0.199318
271ms,271,386.508,0.199408
303ms,303,386.531,0.199307
335ms,335,386.517,0.199338
400ms,400,386.487,0.199333
447ms,447,386.559,0.199385
479ms,479,386.591,0.199366
511ms,511,386.611,0.199536
543ms,543,385.667,0.199203
575ms,575,384.422,0.198624
608ms,608,383.338,0.197836
640ms,640,382.087,0.197262
671ms,671,380.926,0.196991
704ms,704,379.899,0.196267
736ms,736,378.836,0.195812
768ms,768,378.049,0.195288
800ms,800,377.845,0.195578
832ms,832,377.087,0.195041
879ms,879,376.980,0.194936
911ms,911,377.003,0.194633
943ms,943,376.845,0.194389
975ms,975,376.964,0.194470
1007ms,1007,376.903,0.194282
1039ms,1039,377.029,0.194353
1071ms,1071,377.280,0.194254
1103ms,1103,377.507,0.194548
1167ms,1167,378.195,0.194663
1200ms,1200,378.676,0.194940
1232ms,1232,379.200,0.195178
1279ms,1279,379.810,0.195549
1311ms,1311,380.442,0.195724
1343ms,1343,381.112,0.196180
1375ms,1375,381.847,0.196461
1408ms,1408,382.459,0.196936
1440ms,1440,383.212,0.197395
1471ms,1471,383.860,0.197738
1504ms,1504,384.697,0.198361
1536ms,1536,385.599,0.198817
1568ms,1568,386.364,0.199267
1600ms,1600,386.470,0.199467
1632ms,1632,386.396,0.199308
1680ms,1680,386.395,0.199409
1711ms,1711,386.360,0.199382
1744ms,1744,386.413,0.199421
1775ms,1775,386.426,0.199408
1807ms,1807,386.452,0.199421
1840ms,1840,386.418,0.199392
1872ms,1872,386.444,0.199358
1904ms,1904,386.440,0.199402
1935ms,1935,386.452,0.199368
1967ms,1967,386.548,0.199283
2000ms,2000,386.619,0.199574
2032ms,2032,385.609,0.199243
2079ms,2079,384.181,0.198625
2111ms,2111,383.049,0.197859
2143ms,2143,381.910,0.197290
2175ms,2175,380.699,0.196902
2207ms,2207,379.622,0.195997
2239ms,2239,378.613,0.195707
2271ms,2271,378.086,0.195313
2335ms,2335,376.931,0.194820
2368ms,2368,377.080,0.194919
2399ms,2399,377.005,0.194591
2432ms,2432,376.903,0.194525
2479ms,2479,376.888,0.194504
2511ms,2511,377.016,0.194428
2543ms,2543,377.111,0.194344
2575ms,2575,377.207,0.194342
2607ms,2607,377.505,0.194630
2640ms,2640,377.920,0.194655
2672ms,2672,378.308,0.194774
2704ms,2704,378.841,0.195025
2736ms,2736,379.351,0.195365
2768ms,2768,379.971,0.195650
2800ms,2800,380.636,0.195880
2831ms,2831,381.307,0.196343
2879ms,2879,382.035,0.196620
2911ms,2911,382.758,0.197226
2943ms,2943,383.439,0.197548
2975ms,2975,384.180,0.197899
3007ms,3007,385.000,0.198465
3040ms,3040,385.788,0.198947
3072ms,3072,386.606,0.199413
3104ms,3104,386.424,0.199440
3136ms,3136,386.514,0.199307
3168ms,3168,386.441,0.199400
3200ms,3200,386.465,0.199418
3232ms,3232,386.434,0.199399
3279ms,3279,386.451,0.199396
3311ms,3311,386.523,0.199328
3343ms,3343,386.493,0.199376
3375ms,3375,386.443,0.199332
3407ms,3407,386.498,0.199400
3439ms,3439,386.497,0.199360
3503ms,3503,386.433,0.199497
3536ms,3536,385.229,0.199116
3568ms,3568,384.017,0.198322
3600ms,3600,382.716,0.197607
3632ms,3632,381.541,0.197052
3679ms,3679,380.439,0.196635
3711ms,3711,379.344,0.195961
3743ms,3743,378.486,0.195623
3775ms,3775,378.020,0.195114
3807ms,3807,377.761,0.195754
3839ms,3839,376.894,0.194663
3872ms,3872,376.935,0.194788
3904ms,3904,376.995,0.194673
3936ms,3936,376.987,0.194464
3968ms,3968,377.034,0.194309
4000ms,4000,376.984,0.194457
4032ms,4032,377.098,0.194406
4079ms,4079,377.275,0.194365
4111ms,4111,377.513,0.194507
4143ms,4143,377.938,0.194605
4175ms,4175,378.374,0.194882
4208ms,4208,378.910,0.195002
4239ms,4239,379.468,0.195273
4271ms,4271,380.064,0.195748
4303ms,4303,380.668,0.195944
4336ms,4336,381.366,0.196231
4368ms,4368,382.108,0.196731
4400ms,4400,382.791,0.197189
4432ms,4432,383.537,0.197426
4479ms,4479,384.248,0.197955
4511ms,4511,385.086,0.198516
4543ms,4543,386.016,0.199000
4607ms,4607,386.253,0.199294
4639ms,4639,386.401,0.199407
4671ms,4671,386.414,0.199373
4704ms,4704,386.432,0.199381
4736ms,4736,386.417,0.199402
4768ms,4768,386.439,0.199418
4800ms,4800,386.410,0.199390
4832ms,4832,386.464,0.199389
4879ms,4879,386.452,0.199374
4911ms,4911,386.441,0.199298
4943ms,4943,386.496,0.199321
4975ms,4975,386.575,0.199426
5007ms,5007,386.349,0.199416
5040ms,5040,385.108,0.198983
5072ms,5072,383.803,0.198182
5104ms,5104,382.615,0.197554
5136ms,5136,381.481,0.197035
5168ms,5168,380.291,0.196522
5200ms,5200,379.285,0.195895
5232ms,5232,378.279,0.195619
5279ms,5279,377.877,0.195204
5311ms,5311,377.644,0.195493
5343ms,5343,376.916,0.194774
5375ms,5375,376.970,0.194823
5407ms,5407,376.929,0.194587
5439ms,5439,377.015,0.194620
5472ms,5472,376.942,0.194402
5504ms,5504,376.915,0.194401
5536ms,5536,377.070,0.194273
5568ms,5568,377.311,0.194495
5600ms,5600,377.657,0.194555
5632ms,5632,378.015,0.194461
5664ms,5664,378.522,0.194828
5711ms,5711,379.042,0.195088
5743ms,5743,379.590,0.195380
5775ms,5775,380.170,0.195733
5807ms,5807,380.867,0.196054
5839ms,5839,381.506,0.196295
5872ms,5872,382.268,0.196853
5904ms,5904,382.986,0.197238
5936ms,5936,383.661,0.197618
5968ms,5968,384.481,0.198183
6000ms,6000,385.270,0.198695
6032ms,6032,386.169,0.199227
6111ms,6111,386.344,0.199327
6143ms,6143,386.406,0.199389
6175ms,6175,386.411,0.199347
6208ms,6208,386.428,0.199433
6240ms,6240,386.427,0.199333
6272ms,6272,386.443,0.199225
6303ms,6303,386.465,0.199328
6335ms,6335,386.454,0.199337
6367ms,6367,386.395,0.199359
6400ms,6400,386.484,0.199365
6431ms,6431,386.562,0.199399
6463ms,6463,386.665,0.199402
6511ms,6511,385.968,0.199388
6543ms,6543,384.627,0.198750
6575ms,6575,383.406,0.198021
6639ms,6639,381.085,0.197032
6671ms,6671,379.952,0.196317
6703ms,6703,378.917,0.195836
6736ms,6736,378.119,0.195453
6768ms,6768,377.860,0.195452
6799ms,6799,377.210,0.194893
6832ms,6832,376.995,0.194997
6864ms,6864,376.989,0.194677
6911ms,6911,376.894,0.194644
6943ms,6943,376.968,0.194690
6975ms,6975,377.038,0.194588
7007ms,7007,376.963,0.194301
7039ms,7039,377.101,0.194361
7071ms,7071,377.368,0.194372
7104ms,7104,377.771,0.194613
7135ms,7135,378.111,0.194845
7168ms,7168,378.725,0.195102
7200ms,7200,379.177,0.195202
7232ms,7232,379.720,0.195482
7264ms,7264,380.332,0.195854
7311ms,7311,381.004,0.196175
7343ms,7343,381.676,0.196434
7375ms,7375,382.414,0.196878
7407ms,7407,383.125,0.197367
7439ms,7439,383.876,0.197796
7471ms,7471,384.691,0.198388
7503ms,7503,385.555,0.198801
7535ms,7535,386.287,0.199286
7568ms,7568,386.407,0.199362
7600ms,7600,386.316,0.199185
7632ms,7632,386.403,0.199285
7664ms,7664,386.433,0.199341
7711ms,7711,386.423,0.199295
7743ms,7743,386.393,0.199216
7775ms,7775,386.385,0.199313
7807ms,7807,386.366,0.199309
7839ms,7839,386.409,0.199348
7872ms,7872,386.403,0.199356
7904ms,7904,386.460,0.199293
7935ms,7935,386.464,0.199343
7968ms,7968,386.583,0.199453
8000ms,8000,385.592,0.199285
8032ms,8032,384.265,0.198541
8064ms,8064,383.066,0.197754
8111ms,8111,381.947,0.197299
8143ms,8143,380.801,0.196752
8175ms,8175,379.759,0.196178
8207ms,8207,378.711,0.195773
8239ms,8239,378.034,0.195394
8303ms,8303,377.068,0.194928
8335ms,8335,376.996,0.194969
8368ms,8368,376.947,0.194637
8400ms,8400,376.938,0.194556
8432ms,8432,376.898,0.194416
8511ms,8511,377.038,0.194439
8543ms,8543,377.281,0.194400
8575ms,8575,377.526,0.194514
8607ms,8607,377.962,0.194545
8671ms,8671,378.892,0.195027
8703ms,8703,379.341,0.195342
8736ms,8736,379.976,0.195526
8768ms,8768,380.610,0.195904
8800ms,8800,381.338,0.196284
8832ms,8832,381.979,0.196567
8864ms,8864,382.631,0.197036
8911ms,8911,383.440,0.197462
8943ms,8943,384.159,0.197927
8975ms,8975,384.975,0.198538
9007ms,9007,385.803,0.198772
9039ms,9039,386.386,0.199412
9071ms,9071,386.312,0.199357
9103ms,9103,386.440,0.199294
9136ms,9136,386.361,0.199394
9168ms,9168,386.366,0.199323
9200ms,9200,386.399,0.199430
9232ms,9232,386.436,0.199326
9264ms,9264,386.416,0.199287
9311ms,9311,386.406,0.199378
9343ms,9343,386.416,0.199371
9375ms,9375,386.408,0.199284
9407ms,9407,386.413,0.199365
9439ms,9439,386.494,0.199324
9471ms,9471,386.391,0.199345
9504ms,9504,385.196,0.199009
9536ms,9536,383.790,0.198247
9568ms,9568,382.689,0.197588
9600ms,9600,381.476,0.197273
9632ms,9632,380.363,0.196577
9664ms,9664,379.313,0.195929
9711ms,9711,378.344,0.195565
9743ms,9743,378.005,0.195395
9775ms,9775,377.764,0.195651
9807ms,9807,376.841,0.194702
9839ms,9839,377.020,0.194789
9903ms,9903,376.914,0.194402
9935ms,9935,376.913,0.194402
9967ms,9967,376.938,0.194383
10000ms,10000,377.021,0.194382
10032ms,10032,377.298,0.194391
10064ms,10064,377.573,0.194537
10111ms,10111,377.968,0.194615
10239ms,10239,380.134,0.195754
10271ms,10271,380.702,0.195996
10303ms,10303,381.451,0.196341
10336ms,10336,382.065,0.196668
10399ms,10399,383.588,0.197540
10432ms,10432,384.268,0.198027
10464ms,10464,385.127,0.198584
10496ms,10496,386.023,0.199048
10575ms,10575,386.181,0.199399
10607ms,10607,386.397,0.199278
10639ms,10639,386.484,0.199355
10672ms,10672,386.375,0.199257
10703ms,10703,386.387,0.199245
10736ms,10736,386.417,0.199396
10768ms,10768,386.387,0.199312
10800ms,10800,386.360,0.199304
10832ms,10832,386.407,0.199285
10864ms,10864,386.411,0.199317
10911ms,10911,386.457,0.199254
10943ms,10943,386.530,0.199376
10975ms,10975,386.341,0.199347
11007ms,11007,385.136,0.198905
11039ms,11039,383.776,0.198195
11072ms,11072,382.660,0.197512
11103ms,11103,381.405,0.197107
11135ms,11135,380.273,0.196598
11168ms,11168,379.316,0.195867
11200ms,11200,378.383,0.195463
11232ms,11232,378.091,0.195552
11264ms,11264,377.684,0.195508
11311ms,11311,376.884,0.194675
11343ms,11343,377.019,0.195089
11375ms,11375,376.987,0.194617
11407ms,11407,376.955,0.194408
11439ms,11439,376.934,0.194479
11471ms,11471,377.048,0.194376
11504ms,11504,377.127,0.194506
11535ms,11535,377.238,0.194388
11567ms,11567,377.509,0.194548
11600ms,11600,377.929,0.194533
11632ms,11632,378.431,0.194979
11664ms,11664,378.961,0.195174
11696ms,11696,379.402,0.195371
11743ms,11743,379.982,0.195619
11807ms,11807,381.385,0.196361
11839ms,11839,382.092,0.196821
11871ms,11871,382.869,0.197162
11904ms,11904,383.453,0.197614
11936ms,11936,384.223,0.197913
11968ms,11968,385.114,0.198632
11999ms,11999,385.808,0.199045
12032ms,12032,386.421,0.199400
12063ms,12063,386.241,0.199360
12096ms,12096,386.379,0.199319
12143ms,12143,386.377,0.199372
12175ms,12175,386.360,0.199212
12207ms,12207,386.369,0.199326
12239ms,12239,386.378,0.199304
12272ms,12272,386.340,0.199438
12304ms,12304,386.359,0.199213
12335ms,12335,386.362,0.199364
12368ms,12368,386.338,0.199318
12400ms,12400,386.370,0.199228
12432ms,12432,386.450,0.199301
12464ms,12464,386.265,0.199556
12496ms,12496,385.061,0.198875
12543ms,12543,383.666,0.198357
12575ms,12575,382.556,0.197785
12607ms,12607,381.443,0.196900
12639ms,12639,380.185,0.196593
12671ms,12671,379.152,0.196332
12704ms,12704,378.261,0.195523
12767ms,12767,377.458,0.195670
12800ms,12800,376.968,0.194677
12832ms,12832,377.039,0.194632
12864ms,12864,376.918,0.194453
12896ms,12896,376.938,0.194580
12943ms,12943,376.938,0.194311
12975ms,12975,377.030,0.194351
13007ms,13007,377.082,0.194309
13039ms,13039,377.434,0.194301
13072ms,13072,377.726,0.194579
13103ms,13103,378.173,0.194794
13167ms,13167,379.074,0.195279
13200ms,13200,379.706,0.195586
13231ms,13231,380.281,0.195721
13264ms,13264,380.896,0.196108
13296ms,13296,381.563,0.196485
13343ms,13343,382.315,0.196868
13375ms,13375,382.928,0.197313
13407ms,13407,383.799,0.197814
13439ms,13439,384.503,0.198124
13472ms,13472,385.373,0.198659
