timestamp_ms,elapsed_ms,pix_dist,m_dist
2200ms,2200,140.091,0.198250
2400ms,2400,139.200,0.189647
3200ms,3200,138.303,0.194493
3400ms,3400,139.320,0.191671
3600ms,3600,139.592,0.191776
3800ms,3800,139.409,0.192169
5000ms,5000,140.242,0.195676
5200ms,5200,140.245,0.195666
5400ms,5400,138.627,0.189731
5600ms,5600,136.722,0.187084
6200ms,6200,137.988,0.189668
6400ms,6400,139.476,0.191446
6600ms,6600,139.603,0.191669
6800ms,6800,139.267,0.191373
7600ms,7600,137.625,0.192924
7800ms,7800,138.764,0.192604
8000ms,8000,139.429,0.192050
8200ms,8200,139.429,0.192053
8400ms,8400,138.181,0.195598
8600ms,8600,136.816,0.187905
9400ms,9400,139.455,0.191669
9600ms,9600,139.526,0.192284
9800ms,9800,139.292,0.191299
10800ms,10800,138.594,0.191070
11400ms,11400,137.821,0.189170
11600ms,11600,136.562,0.184781
11800ms,11800,136.632,0.188384
12200ms,12200,137.932,0.188426
12400ms,12400,139.622,0.192561
12600ms,12600,139.556,0.192139
12800ms,12800,138.901,0.191082
13800ms,13800,139.099,0.191155
14000ms,14000,139.610,0.192008
14200ms,14200,139.543,0.192254
15000ms,15000,136.809,0.187972
15200ms,15200,138.397,0.190065
15400ms,15400,139.415,0.191919
15600ms,15600,139.417,0.191897
15800ms,15800,138.064,0.188823
16000ms,16000,136.890,0.186754
16800ms,16800,139.541,0.191425
17000ms,17000,139.569,0.192244
17200ms,17200,139.414,0.191903
17400ms,17400,136.985,0.186271
18200ms,18200,138.634,0.190693
18400ms,18400,139.514,0.192315
18600ms,18600,139.515,0.192309
18800ms,18800,137.661,0.192628
19000ms,19000,136.590,0.185146
20200ms,20200,138.814,0.189433
20400ms,20400,136.680,0.186218
21000ms,21000,137.588,0.188069
21200ms,21200,139.137,0.190029
22600ms,22600,138.056,0.188239
24000ms,24000,138.072,0.188725
24200ms,24200,139.377,0.191281
24400ms,24400,139.572,0.191477
