timestamp_ms,elapsed_ms,pix_dist,m_dist
0ms,0,231.133,0.199112
32ms,32,231.710,0.199519
64ms,64,232.177,0.199804
96ms,96,232.551,0.200404
128ms,128,233.051,0.200708
160ms,160,233.564,0.200803
208ms,208,233.981,0.201166
240ms,240,234.566,0.201922
271ms,271,235.371,0.202513
304ms,304,235.748,0.203097
336ms,336,236.173,0.203269
367ms,367,236.196,0.203315
400ms,400,236.109,0.203152
432ms,432,236.175,0.203243
464ms,464,236.135,0.203329
528ms,528,236.160,0.203347
575ms,575,236.173,0.203331
608ms,608,236.150,0.203340
639ms,639,236.191,0.203302
671ms,671,236.234,0.203351
704ms,704,236.270,0.203384
736ms,736,236.134,0.203342
768ms,768,235.636,0.202904
800ms,800,234.974,0.202725
831ms,831,233.289,0.201683
863ms,863,231.816,0.199701
896ms,896,231.110,0.199659
943ms,943,230.284,0.198641
976ms,976,229.783,0.198427
1008ms,1008,229.017,0.197528
1039ms,1039,228.785,0.197218
1072ms,1072,228.469,0.196635
1104ms,1104,228.409,0.196498
1135ms,1135,228.422,0.196691
1168ms,1168,228.410,0.196634
1199ms,1199,228.431,0.196542
1231ms,1231,228.753,0.197183
1264ms,1264,229.036,0.197200
1343ms,1343,229.659,0.197833
1375ms,1375,230.015,0.198579
1407ms,1407,230.466,0.198639
1439ms,1439,230.781,0.198838
1472ms,1472,231.162,0.199143
1503ms,1503,231.669,0.199473
1536ms,1536,232.039,0.199463
1567ms,1567,232.625,0.200140
1599ms,1599,232.994,0.200534
1632ms,1632,233.424,0.200783
1664ms,1664,233.774,0.201376
1711ms,1711,234.630,0.201953
1743ms,1743,235.192,0.202458
1775ms,1775,235.580,0.202828
1807ms,1807,235.767,0.203109
1840ms,1840,235.919,0.202983
1871ms,1871,235.776,0.203266
1935ms,1935,235.905,0.203221
1967ms,1967,235.861,0.203213
1999ms,1999,235.891,0.203139
2031ms,2031,235.918,0.203162
2079ms,2079,235.920,0.203272
2111ms,2111,235.991,0.203301
2143ms,2143,235.963,0.203350
2175ms,2175,235.987,0.203345
2207ms,2207,235.535,0.202972
2239ms,2239,235.256,0.202965
2271ms,2271,234.342,0.202368
2303ms,2303,232.719,0.201943
2335ms,2335,231.419,0.200647
2367ms,2367,230.626,0.199518
2399ms,2399,230.087,0.199285
2447ms,2447,229.393,0.198642
2479ms,2479,228.866,0.197929
2511ms,2511,228.669,0.197596
2543ms,2543,228.532,0.197090
2575ms,2575,228.443,0.197000
2607ms,2607,228.431,0.197021
2639ms,2639,228.451,0.196910
2671ms,2671,228.420,0.196939
2703ms,2703,228.615,0.197154
2735ms,2735,228.906,0.197099
2767ms,2767,229.169,0.197537
2799ms,2799,229.541,0.197486
2847ms,2847,229.998,0.198047
2879ms,2879,230.297,0.198417
2911ms,2911,230.640,0.198450
2943ms,2943,231.093,0.199031
2975ms,2975,231.478,0.199269
3007ms,3007,231.901,0.199719
3039ms,3039,232.153,0.200012
3071ms,3071,232.737,0.200324
3103ms,3103,233.232,0.200589
3135ms,3135,233.744,0.201284
3167ms,3167,234.391,0.201703
3247ms,3247,235.404,0.202748
3279ms,3279,235.577,0.203152
3311ms,3311,235.647,0.203204
3375ms,3375,235.653,0.202417
3407ms,3407,235.618,0.202631
3439ms,3439,235.644,0.202448
3471ms,3471,235.636,0.202752
3503ms,3503,235.708,0.202963
3535ms,3535,235.682,0.202467
3567ms,3567,235.718,0.203089
3615ms,3615,235.675,0.203115
3647ms,3647,235.710,0.203149
3679ms,3679,235.445,0.203050
3711ms,3711,235.154,0.202525
3775ms,3775,232.722,0.201881
3807ms,3807,231.438,0.200495
3839ms,3839,230.675,0.199596
3871ms,3871,229.991,0.198640
3903ms,3903,229.352,0.198438
3935ms,3935,228.773,0.197912
3983ms,3983,228.547,0.197270
4015ms,4015,228.429,0.197295
4047ms,4047,228.322,0.197005
4079ms,4079,228.371,0.197018
4111ms,4111,228.391,0.197008
4143ms,4143,228.433,0.196966
4175ms,4175,228.605,0.197219
4207ms,4207,228.924,0.197171
4239ms,4239,229.182,0.197444
4271ms,4271,229.478,0.197663
4351ms,4351,230.238,0.198283
4383ms,4383,230.618,0.198855
4415ms,4415,231.049,0.199232
4447ms,4447,231.244,0.199459
4479ms,4479,231.644,0.199811
4511ms,4511,232.045,0.199954
4543ms,4543,232.655,0.200295
4575ms,4575,233.249,0.200857
4607ms,4607,233.595,0.201394
4639ms,4639,234.310,0.201711
4671ms,4671,234.840,0.202204
4719ms,4719,235.143,0.202491
4751ms,4751,235.234,0.202693
4783ms,4783,235.285,0.203110
4815ms,4815,235.368,0.202361
4847ms,4847,235.366,0.202129
4879ms,4879,235.350,0.202137
4911ms,4911,235.425,0.202048
4943ms,4943,235.390,0.202157
4975ms,4975,235.399,0.202192
5007ms,5007,235.403,0.202208
5039ms,5039,235.479,0.202670
5071ms,5071,235.522,0.202635
5119ms,5119,235.450,0.202832
5151ms,5151,235.439,0.203132
5183ms,5183,235.132,0.202453
5215ms,5215,234.705,0.202405
5247ms,5247,233.493,0.201829
5279ms,5279,231.867,0.200332
5311ms,5311,230.850,0.199506
5343ms,5343,230.170,0.198725
5375ms,5375,229.542,0.197979
5407ms,5407,228.874,0.197722
5439ms,5439,228.548,0.197418
5487ms,5487,228.395,0.197259
5519ms,5519,228.292,0.197189
5551ms,5551,228.204,0.196980
5583ms,5583,228.303,0.197126
5615ms,5615,228.339,0.196984
5679ms,5679,228.703,0.197467
5711ms,5711,229.031,0.197549
5743ms,5743,229.338,0.197821
5775ms,5775,229.710,0.197810
5807ms,5807,230.170,0.198246
5839ms,5839,230.464,0.198631
5919ms,5919,231.254,0.199007
5951ms,5951,231.505,0.199547
5983ms,5983,231.821,0.199690
6015ms,6015,232.347,0.200259
6111ms,6111,233.872,0.201590
6143ms,6143,234.565,0.202097
6175ms,6175,235.032,0.202519
6207ms,6207,235.144,0.202644
6255ms,6255,235.414,0.202642
6287ms,6287,235.312,0.202160
6319ms,6319,235.310,0.202051
6351ms,6351,235.328,0.202107
6383ms,6383,235.294,0.202037
6415ms,6415,235.307,0.202185
6447ms,6447,235.324,0.202030
6479ms,6479,235.304,0.202052
6575ms,6575,235.328,0.202554
6623ms,6623,235.394,0.202888
6655ms,6655,235.172,0.202575
6687ms,6687,234.806,0.202615
6719ms,6719,233.925,0.202026
6751ms,6751,232.375,0.201507
6783ms,6783,231.152,0.200355
6815ms,6815,230.430,0.199453
6847ms,6847,229.733,0.199120
6879ms,6879,229.099,0.198364
6911ms,6911,228.586,0.197490
6943ms,6943,228.453,0.197354
6975ms,6975,228.305,0.197259
7023ms,7023,228.285,0.197087
7055ms,7055,228.324,0.197017
7087ms,7087,228.306,0.196961
7119ms,7119,228.352,0.197073
7151ms,7151,228.658,0.196893
7183ms,7183,228.864,0.197112
7215ms,7215,229.197,0.197088
7247ms,7247,229.636,0.197618
7279ms,7279,230.025,0.197999
7311ms,7311,230.367,0.198212
7343ms,7343,230.718,0.198421
7391ms,7391,231.055,0.198843
7423ms,7423,231.425,0.199197
7455ms,7455,231.854,0.199296
7487ms,7487,232.215,0.199727
7519ms,7519,232.755,0.200312
7551ms,7551,233.028,0.200623
7583ms,7583,233.592,0.201165
7615ms,7615,234.227,0.201778
7647ms,7647,234.720,0.202163
7679ms,7679,234.995,0.201891
7711ms,7711,235.216,0.202029
7759ms,7759,235.208,0.201989
7791ms,7791,235.219,0.202390
7823ms,7823,235.175,0.202156
7855ms,7855,235.177,0.202176
7887ms,7887,235.172,0.202489
7919ms,7919,235.182,0.202559
7951ms,7951,235.176,0.202505
7983ms,7983,235.176,0.202069
8015ms,8015,235.232,0.202082
8047ms,8047,235.274,0.202356
8079ms,8079,235.202,0.202847
8159ms,8159,234.747,0.202658
8191ms,8191,234.170,0.201946
8255ms,8255,231.268,0.199874
8319ms,8319,229.824,0.198994
8351ms,8351,229.167,0.198092
8383ms,8383,228.698,0.197718
8415ms,8415,228.350,0.197310
8447ms,8447,228.245,0.197205
8479ms,8479,228.235,0.197265
8527ms,8527,228.258,0.196995
8591ms,8591,228.292,0.196936
8623ms,8623,228.530,0.197130
8655ms,8655,228.842,0.197270
8687ms,8687,229.121,0.197510
8719ms,8719,229.511,0.197754
8751ms,8751,230.003,0.198161
8783ms,8783,230.222,0.198395
8815ms,8815,230.571,0.198731
8847ms,8847,231.092,0.199047
8879ms,8879,231.721,0.199717
8927ms,8927,232.280,0.200092
8991ms,8991,232.790,0.200318
9023ms,9023,233.078,0.200578
9055ms,9055,233.539,0.201140
9087ms,9087,234.222,0.201837
9119ms,9119,234.713,0.202486
9151ms,9151,235.136,0.201862
9183ms,9183,235.278,0.202103
9215ms,9215,235.264,0.202104
