timestamp_ms,elapsed_ms,pix_dist,m_dist
0ms,0,229.154,0.200291
31ms,31,229.291,0.200901
63ms,63,229.206,0.200241
96ms,96,229.450,0.200802
143ms,143,229.301,0.200577
175ms,175,229.230,0.200959
207ms,207,229.566,0.201222
239ms,239,229.618,0.201113
272ms,272,229.614,0.200453
304ms,304,229.619,0.200857
335ms,335,229.737,0.201513
367ms,367,229.445,0.201351
399ms,399,229.216,0.202159
431ms,431,228.781,0.200993
463ms,463,228.624,0.200480
495ms,495,228.645,0.200027
543ms,543,229.034,0.200435
575ms,575,229.760,0.201847
607ms,607,229.972,0.201612
671ms,671,230.272,0.202166
703ms,703,230.270,0.202101
735ms,735,230.343,0.202253
767ms,767,230.378,0.202105
799ms,799,230.332,0.202074
831ms,831,230.350,0.202491
911ms,911,230.354,0.202111
943ms,943,230.297,0.202091
975ms,975,230.349,0.202078
1007ms,1007,230.036,0.201888
1039ms,1039,229.620,0.202563
1103ms,1103,230.152,0.203007
1135ms,1135,230.073,0.201686
1167ms,1167,230.069,0.201146
1199ms,1199,229.847,0.201787
1231ms,1231,229.372,0.200705
1263ms,1263,229.047,0.200795
1311ms,1311,229.204,0.200623
1343ms,1343,229.212,0.200650
1375ms,1375,229.126,0.199867
1439ms,1439,229.241,0.200588
1471ms,1471,229.156,0.200281
1503ms,1503,229.067,0.199781
1535ms,1535,229.210,0.200637
1599ms,1599,229.322,0.200467
1631ms,1631,229.222,0.200980
1679ms,1679,229.391,0.200607
1711ms,1711,229.597,0.201366
1743ms,1743,229.419,0.200971
1775ms,1775,229.419,0.201421
1807ms,1807,229.594,0.201753
1839ms,1839,229.498,0.201398
1871ms,1871,229.143,0.202207
1903ms,1903,228.814,0.201044
1935ms,1935,228.495,0.199795
1967ms,1967,228.501,0.200252
1999ms,1999,229.135,0.200685
2047ms,2047,229.652,0.201500
2079ms,2079,229.857,0.201878
2111ms,2111,230.091,0.202051
2143ms,2143,230.171,0.202220
2175ms,2175,230.337,0.201913
2207ms,2207,230.345,0.201981
2239ms,2239,230.376,0.201752
2271ms,2271,230.386,0.202132
2303ms,2303,230.312,0.202367
2367ms,2367,230.365,0.202110
2415ms,2415,230.340,0.202255
2447ms,2447,230.443,0.202177
