timestamp_ms,elapsed_ms,pix_dist,m_dist
128ms,128,223.171,0.199323
160ms,160,223.030,0.197241
192ms,192,222.895,0.197921
224ms,224,223.277,0.198187
256ms,256,223.537,0.199292
288ms,288,224.043,0.199711
319ms,319,224.184,0.200481
367ms,367,224.514,0.200122
399ms,399,224.737,0.199103
432ms,432,224.829,0.200788
464ms,464,224.941,0.200046
496ms,496,225.240,0.199465
528ms,528,225.888,0.200004
560ms,560,226.133,0.200769
592ms,592,226.545,0.200583
624ms,624,226.632,0.201069
655ms,655,226.523,0.201125
687ms,687,226.602,0.200769
720ms,720,226.645,0.200730
767ms,767,226.641,0.201719
799ms,799,226.503,0.201041
831ms,831,226.577,0.200906
864ms,864,226.534,0.200969
895ms,895,226.562,0.201048
928ms,928,226.601,0.200948
960ms,960,226.778,0.201305
991ms,991,226.636,0.200864
1055ms,1055,226.436,0.200540
1088ms,1088,226.192,0.199973
1120ms,1120,225.545,0.200577
1167ms,1167,225.162,0.199860
1199ms,1199,224.635,0.197786
1232ms,1232,224.425,0.198061
1360ms,1360,224.017,0.196692
1663ms,1663,223.226,0.197388
1695ms,1695,223.087,0.197845
1727ms,1727,223.209,0.197472
1759ms,1759,223.390,0.197702
1791ms,1791,223.782,0.199282
1824ms,1824,224.204,0.200657
1856ms,1856,224.475,0.200741
1888ms,1888,224.835,0.199522
1920ms,1920,224.969,0.200604
1967ms,1967,224.948,0.199601
1999ms,1999,225.234,0.199510
2031ms,2031,225.592,0.200262
2063ms,2063,226.031,0.201290
2095ms,2095,226.473,0.201098
2127ms,2127,226.650,0.201209
2159ms,2159,226.589,0.201024
2191ms,2191,226.622,0.201071
2223ms,2223,226.648,0.201481
2287ms,2287,226.623,0.201699
2319ms,2319,226.647,0.201397
2367ms,2367,226.698,0.201686
2399ms,2399,226.642,0.201594
2431ms,2431,226.512,0.200882
2463ms,2463,226.641,0.201479
2495ms,2495,226.455,0.200895
2527ms,2527,226.798,0.200626
2559ms,2559,226.566,0.200545
2591ms,2591,226.251,0.200200
2623ms,2623,225.557,0.200583
2655ms,2655,225.313,0.200621
2687ms,2687,224.653,0.197738
2719ms,2719,224.567,0.197867
2799ms,2799,224.166,0.198385
2831ms,2831,224.079,0.197580
2991ms,2991,223.904,0.197176
3151ms,3151,223.178,0.196533
3199ms,3199,223.162,0.197512
3231ms,3231,223.269,0.197164
3263ms,3263,223.387,0.197500
3295ms,3295,223.709,0.198384
3327ms,3327,224.234,0.200657
3359ms,3359,224.464,0.200199
3391ms,3391,224.552,0.199318
3423ms,3423,224.722,0.200557
3455ms,3455,225.155,0.199254
3487ms,3487,225.150,0.199424
3519ms,3519,225.430,0.200855
3551ms,3551,226.039,0.200560
3599ms,3599,226.407,0.200981
3631ms,3631,226.708,0.201060
3663ms,3663,226.545,0.200479
3695ms,3695,226.545,0.201039
3727ms,3727,226.603,0.201331
3759ms,3759,226.675,0.201306
3823ms,3823,226.673,0.201316
3855ms,3855,226.616,0.201644
3887ms,3887,226.628,0.201227
3919ms,3919,226.674,0.200952
3951ms,3951,226.571,0.200569
3999ms,3999,226.485,0.200969
4031ms,4031,226.623,0.200085
4063ms,4063,226.639,0.200686
4095ms,4095,226.349,0.200073
4127ms,4127,225.506,0.200006
4159ms,4159,225.206,0.200634
4191ms,4191,224.651,0.197952
4223ms,4223,224.381,0.198642
4255ms,4255,224.278,0.198850
4319ms,4319,224.202,0.197187
4655ms,4655,223.210,0.197231
4687ms,4687,222.865,0.197417
4719ms,4719,223.043,0.198102
4751ms,4751,223.417,0.199084
4799ms,4799,223.723,0.199657
4831ms,4831,224.170,0.200804
4863ms,4863,224.359,0.199239
4895ms,4895,224.670,0.199066
4927ms,4927,224.739,0.200690
4959ms,4959,224.938,0.199843
4991ms,4991,225.135,0.199442
5055ms,5055,225.976,0.200775
5087ms,5087,226.401,0.201151
5119ms,5119,226.590,0.200944
5167ms,5167,226.471,0.200665
5199ms,5199,226.576,0.200661
5231ms,5231,226.729,0.201237
5263ms,5263,226.545,0.200941
5295ms,5295,226.640,0.201461
5327ms,5327,226.580,0.201035
5359ms,5359,226.623,0.200770
5391ms,5391,226.655,0.201393
5423ms,5423,226.580,0.200806
5455ms,5455,226.555,0.200803
5487ms,5487,226.362,0.200489
5519ms,5519,226.766,0.200373
5551ms,5551,226.627,0.200639
5599ms,5599,226.272,0.199749
5631ms,5631,225.558,0.200077
5663ms,5663,225.313,0.201239
5727ms,5727,224.595,0.197660
6191ms,6191,222.980,0.197445
6223ms,6223,223.229,0.197362
6255ms,6255,223.260,0.198444
6287ms,6287,223.790,0.198859
6319ms,6319,224.272,0.200091
6367ms,6367,224.474,0.200443
6399ms,6399,224.676,0.199173
6431ms,6431,224.784,0.201517
6463ms,6463,224.926,0.199333
6495ms,6495,225.106,0.199706
6527ms,6527,225.506,0.201067
6559ms,6559,225.914,0.200111
6591ms,6591,226.468,0.201240
6623ms,6623,226.684,0.200968
6655ms,6655,226.564,0.200317
6687ms,6687,226.548,0.200573
6719ms,6719,226.662,0.201100
6751ms,6751,226.686,0.201110
6799ms,6799,226.607,0.201426
6831ms,6831,226.643,0.200950
6863ms,6863,226.638,0.201297
6895ms,6895,226.686,0.201166
6927ms,6927,226.576,0.200898
6959ms,6959,226.538,0.200837
6991ms,6991,226.495,0.200800
7023ms,7023,226.774,0.200742
7055ms,7055,226.491,0.200607
7087ms,7087,226.350,0.199932
7119ms,7119,225.534,0.200949
7151ms,7151,225.361,0.201236
7199ms,7199,224.723,0.197710
7231ms,7231,224.596,0.197816
7263ms,7263,224.261,0.199343
7663ms,7663,223.104,0.196736
7695ms,7695,223.040,0.197423
7727ms,7727,223.199,0.197142
7791ms,7791,223.636,0.198592
7823ms,7823,224.206,0.200588
7855ms,7855,224.511,0.200525
7887ms,7887,224.656,0.199118
7919ms,7919,224.740,0.201813
7951ms,7951,224.900,0.199808
7999ms,7999,225.097,0.199775
8031ms,8031,225.547,0.200139
8063ms,8063,226.066,0.201208
8095ms,8095,226.520,0.201253
8127ms,8127,226.662,0.200982
8159ms,8159,226.442,0.201297
8191ms,8191,226.694,0.201597
8223ms,8223,226.676,0.201583
8255ms,8255,226.623,0.201622
8287ms,8287,226.592,0.201551
8319ms,8319,226.573,0.200930
8351ms,8351,226.579,0.201425
8399ms,8399,226.636,0.201420
8431ms,8431,226.585,0.201437
8463ms,8463,226.583,0.201090
8495ms,8495,226.475,0.200567
8559ms,8559,226.382,0.200551
8591ms,8591,226.236,0.199982
8623ms,8623,225.424,0.200506
8655ms,8655,225.143,0.200384
8687ms,8687,224.616,0.197902
8719ms,8719,224.342,0.197895
8991ms,8991,223.996,0.198002
9199ms,9199,223.123,0.197540
9231ms,9231,223.295,0.197976
9295ms,9295,224.064,0.200074
9327ms,9327,224.222,0.200795
9359ms,9359,224.473,0.199158
9391ms,9391,224.755,0.199620
9423ms,9423,224.863,0.199891
9455ms,9455,224.914,0.199788
9487ms,9487,225.193,0.200539
9519ms,9519,225.769,0.200680
9551ms,9551,226.105,0.200673
9599ms,9599,226.656,0.201014
9631ms,9631,226.714,0.200983
9663ms,9663,226.728,0.201170
9695ms,9695,226.722,0.201362
9727ms,9727,226.641,0.201531
9791ms,9791,226.727,0.201438
9823ms,9823,226.619,0.201430
9855ms,9855,226.634,0.201025
9887ms,9887,226.652,0.201137
9919ms,9919,226.650,0.201349
9951ms,9951,226.660,0.201172
9999ms,9999,226.709,0.200167
10031ms,10031,226.564,0.200371
10063ms,10063,226.383,0.199956
10095ms,10095,225.899,0.200272
10127ms,10127,225.405,0.200340
10159ms,10159,224.706,0.198045
10191ms,10191,224.665,0.197762
10623ms,10623,223.211,0.196701
10655ms,10655,223.137,0.197536
10687ms,10687,223.293,0.197524
10719ms,10719,223.423,0.199005
10751ms,10751,224.008,0.199273
10799ms,10799,224.204,0.200715
10831ms,10831,224.524,0.198658
10863ms,10863,224.745,0.199445
10895ms,10895,224.747,0.200749
10927ms,10927,224.907,0.199664
10959ms,10959,225.202,0.199351
11023ms,11023,226.055,0.200814
11055ms,11055,226.560,0.201098
11087ms,11087,226.608,0.201192
11119ms,11119,226.612,0.201273
11151ms,11151,226.566,0.201015
11199ms,11199,226.643,0.201437
11231ms,11231,226.632,0.201054
11263ms,11263,226.488,0.200933
11295ms,11295,226.604,0.201389
