timestamp_ms,elapsed_ms,pix_dist,m_dist
0ms,0,238.831,0.205177
31ms,31,238.768,0.205640
63ms,63,238.787,0.205523
95ms,95,239.042,0.205853
127ms,127,239.028,0.206178
159ms,159,239.199,0.206545
191ms,191,239.156,0.206293
239ms,239,239.559,0.206933
271ms,271,239.750,0.207242
367ms,367,240.027,0.207279
399ms,399,240.081,0.206962
431ms,431,240.002,0.207415
463ms,463,240.053,0.207019
495ms,495,240.019,0.207382
607ms,607,240.049,0.207518
639ms,639,240.041,0.207332
671ms,671,240.055,0.207174
703ms,703,240.137,0.206986
735ms,735,240.074,0.207195
767ms,767,240.006,0.207104
799ms,799,239.632,0.207437
831ms,831,239.431,0.206865
863ms,863,239.555,0.206607
895ms,895,239.402,0.206586
927ms,927,239.464,0.206455
959ms,959,239.190,0.206068
1007ms,1007,238.844,0.205921
1039ms,1039,238.935,0.206014
1071ms,1071,239.279,0.205108
1103ms,1103,239.373,0.205933
1135ms,1135,239.408,0.205385
1167ms,1167,239.176,0.204624
1199ms,1199,239.348,0.205437
1231ms,1231,239.402,0.205391
1263ms,1263,239.474,0.205235
1295ms,1295,239.502,0.206605
1327ms,1327,239.346,0.206578
1375ms,1375,239.239,0.205911
1407ms,1407,238.802,0.205768
1439ms,1439,238.768,0.205877
1471ms,1471,238.791,0.205518
1503ms,1503,238.688,0.205802
1535ms,1535,238.841,0.205671
1567ms,1567,239.117,0.205941
1599ms,1599,238.954,0.206257
1631ms,1631,239.271,0.206525
1663ms,1663,239.161,0.206541
1695ms,1695,239.501,0.206986
1743ms,1743,239.791,0.207418
1775ms,1775,239.811,0.207551
1807ms,1807,239.938,0.207525
1839ms,1839,240.049,0.207447
1871ms,1871,239.962,0.207514
1903ms,1903,240.017,0.207600
1935ms,1935,240.068,0.207543
1967ms,1967,240.022,0.207231
1999ms,1999,240.088,0.207379
2031ms,2031,240.076,0.207391
2095ms,2095,240.054,0.207485
2143ms,2143,240.070,0.207429
2175ms,2175,240.104,0.207107
2207ms,2207,240.021,0.207211
2239ms,2239,239.905,0.207524
2271ms,2271,239.486,0.207453
2303ms,2303,239.510,0.206794
2335ms,2335,239.498,0.206818
2367ms,2367,239.439,0.206269
2399ms,2399,239.251,0.206868
2431ms,2431,239.126,0.206144
2463ms,2463,238.914,0.205895
2511ms,2511,238.858,0.205810
2543ms,2543,239.306,0.205670
2575ms,2575,239.353,0.205875
2607ms,2607,239.351,0.205219
2639ms,2639,239.188,0.204718
2671ms,2671,239.479,0.205419
2703ms,2703,239.465,0.205412
2735ms,2735,239.417,0.206262
2767ms,2767,239.303,0.207015
2799ms,2799,239.354,0.206620
2831ms,2831,239.233,0.205778
2879ms,2879,239.083,0.206292
2911ms,2911,238.735,0.205618
2943ms,2943,238.750,0.205537
2975ms,2975,238.753,0.205709
3007ms,3007,238.909,0.205969
3039ms,3039,239.037,0.206067
3071ms,3071,238.930,0.206465
3103ms,3103,239.220,0.206548
3135ms,3135,239.242,0.206713
3199ms,3199,239.691,0.207534
3231ms,3231,239.779,0.207506
3279ms,3279,239.876,0.207486
3311ms,3311,240.101,0.207362
3343ms,3343,239.967,0.207213
3375ms,3375,240.057,0.207416
3407ms,3407,239.997,0.207488
3439ms,3439,240.031,0.207505
3471ms,3471,240.001,0.207531
3503ms,3503,240.009,0.207603
3535ms,3535,240.084,0.207546
3567ms,3567,240.067,0.207494
3599ms,3599,240.032,0.207429
3647ms,3647,240.118,0.207311
3679ms,3679,240.020,0.207553
3711ms,3711,239.995,0.207225
3743ms,3743,239.515,0.207179
3775ms,3775,239.452,0.206848
3807ms,3807,239.508,0.206767
3839ms,3839,239.392,0.206721
3871ms,3871,239.292,0.206344
3935ms,3935,239.068,0.205612
3967ms,3967,238.898,0.205929
4015ms,4015,239.125,0.205577
4047ms,4047,239.368,0.204936
4079ms,4079,239.372,0.205519
4111ms,4111,239.228,0.204541
4143ms,4143,239.339,0.205303
4175ms,4175,239.344,0.205443
4207ms,4207,239.449,0.205560
4239ms,4239,239.285,0.205776
4271ms,4271,239.463,0.206689
4303ms,4303,239.333,0.205957
4335ms,4335,239.057,0.206657
4367ms,4367,238.758,0.205230
4415ms,4415,238.901,0.205909
4447ms,4447,238.929,0.205927
4479ms,4479,238.740,0.205758
4511ms,4511,239.027,0.205797
4543ms,4543,238.941,0.206459
4575ms,4575,239.136,0.206665
4607ms,4607,239.187,0.206808
4639ms,4639,239.255,0.206718
4671ms,4671,239.621,0.207245
4703ms,4703,239.814,0.207461
4735ms,4735,239.899,0.207660
4783ms,4783,239.945,0.207663
4815ms,4815,240.053,0.207706
4847ms,4847,240.058,0.207499
4879ms,4879,239.980,0.207449
4911ms,4911,239.972,0.207493
4943ms,4943,240.072,0.207429
4975ms,4975,240.040,0.207534
5007ms,5007,240.021,0.207508
5039ms,5039,240.064,0.207457
5071ms,5071,240.025,0.207650
5103ms,5103,240.008,0.207457
5135ms,5135,240.046,0.207076
5183ms,5183,240.042,0.207049
5215ms,5215,239.895,0.207374
5247ms,5247,239.610,0.207283
5279ms,5279,239.536,0.206759
5311ms,5311,239.501,0.206737
5375ms,5375,239.482,0.206482
5407ms,5407,238.976,0.205781
5439ms,5439,238.907,0.205980
5471ms,5471,238.888,0.205938
5503ms,5503,239.337,0.205701
5551ms,5551,239.305,0.205931
5583ms,5583,239.279,0.205313
5615ms,5615,239.218,0.204672
5647ms,5647,239.398,0.205311
5679ms,5679,239.378,0.205265
5743ms,5743,239.239,0.206944
5775ms,5775,239.293,0.206617
5807ms,5807,239.175,0.205867
5839ms,5839,239.046,0.205879
5871ms,5871,238.844,0.205730
5919ms,5919,238.635,0.205398
5951ms,5951,238.628,0.205830
5983ms,5983,238.853,0.205765
6015ms,6015,238.966,0.206198
6047ms,6047,238.904,0.206422
6079ms,6079,239.236,0.206634
6111ms,6111,239.153,0.206736
6143ms,6143,239.335,0.206602
6175ms,6175,239.638,0.207042
6207ms,6207,239.801,0.207353
6239ms,6239,239.853,0.207518
6287ms,6287,240.062,0.207674
6319ms,6319,239.917,0.207519
6351ms,6351,240.012,0.207173
6383ms,6383,239.951,0.207435
6415ms,6415,240.065,0.207252
6447ms,6447,239.972,0.207580
6479ms,6479,239.974,0.207409
6511ms,6511,239.985,0.207386
6543ms,6543,239.990,0.207203
6575ms,6575,240.042,0.207120
6607ms,6607,240.096,0.206990
6639ms,6639,240.010,0.207225
6687ms,6687,239.998,0.207279
6719ms,6719,239.554,0.207447
6751ms,6751,239.520,0.207229
6783ms,6783,239.566,0.206820
6815ms,6815,239.495,0.206937
6847ms,6847,239.391,0.206082
6879ms,6879,239.285,0.206467
6911ms,6911,239.130,0.205807
6943ms,6943,238.980,0.206301
6975ms,6975,239.114,0.205958
7007ms,7007,239.395,0.205075
7055ms,7055,239.389,0.205713
7087ms,7087,239.296,0.204984
7119ms,7119,239.357,0.205263
7151ms,7151,239.386,0.205742
7183ms,7183,239.561,0.205537
7215ms,7215,239.282,0.206000
7247ms,7247,239.296,0.206500
7279ms,7279,239.207,0.206053
7311ms,7311,239.123,0.206467
7375ms,7375,238.672,0.205688
7423ms,7423,238.689,0.205572
7455ms,7455,238.624,0.205469
7487ms,7487,238.884,0.205838
7519ms,7519,238.944,0.206379
7551ms,7551,239.130,0.206626
7583ms,7583,239.333,0.206653
7615ms,7615,239.323,0.206695
7647ms,7647,239.488,0.206999
7711ms,7711,239.783,0.207497
7743ms,7743,240.037,0.207449
7775ms,7775,240.057,0.207323
7823ms,7823,240.029,0.207220
7855ms,7855,240.044,0.206892
7887ms,7887,240.023,0.207180
7919ms,7919,239.952,0.207490
7951ms,7951,239.998,0.207442
7983ms,7983,240.037,0.207257
8015ms,8015,240.005,0.207636
8047ms,8047,240.048,0.207406
8079ms,8079,240.018,0.207420
8111ms,8111,239.999,0.207232
8191ms,8191,239.620,0.207578
8223ms,8223,239.530,0.207520
8255ms,8255,239.480,0.207109
8287ms,8287,239.489,0.207131
8319ms,8319,239.585,0.206283
8351ms,8351,239.365,0.206444
8383ms,8383,239.090,0.205494
8415ms,8415,238.980,0.206184
8447ms,8447,238.957,0.206346
8479ms,8479,239.344,0.204999
8511ms,8511,239.366,0.205597
8559ms,8559,239.375,0.205372
8591ms,8591,239.204,0.204923
8623ms,8623,239.409,0.205246
8655ms,8655,239.472,0.205555
8687ms,8687,239.395,0.205945
8719ms,8719,239.418,0.207055
8751ms,8751,239.308,0.206608
8783ms,8783,239.246,0.205827
8815ms,8815,238.983,0.205983
8847ms,8847,238.762,0.205907
8879ms,8879,238.752,0.205669
8911ms,8911,238.671,0.205871
8959ms,8959,238.858,0.205993
8991ms,8991,239.067,0.206145
9023ms,9023,239.015,0.206451
