timestamp_ms,elapsed_ms,pix_dist,m_dist
0ms,0,229.398,0.207892
64ms,64,229.662,0.208042
95ms,95,229.824,0.208458
127ms,127,229.986,0.207992
160ms,160,230.171,0.208173
207ms,207,230.284,0.208768
239ms,239,230.497,0.208967
271ms,271,230.487,0.208742
303ms,303,230.399,0.208827
336ms,336,230.699,0.208589
368ms,368,230.576,0.208461
400ms,400,230.645,0.208425
432ms,432,230.644,0.208413
464ms,464,230.633,0.208420
496ms,496,230.581,0.208672
528ms,528,230.614,0.208393
560ms,560,230.588,0.208425
607ms,607,230.571,0.208332
639ms,639,230.639,0.208605
671ms,671,230.593,0.208438
703ms,703,230.643,0.208682
736ms,736,230.604,0.208715
767ms,767,230.430,0.208685
800ms,800,229.996,0.208179
832ms,832,229.814,0.208097
863ms,863,229.653,0.208209
896ms,896,229.566,0.207332
975ms,975,229.377,0.207633
1007ms,1007,229.250,0.206961
1039ms,1039,229.309,0.206631
1071ms,1071,229.861,0.207717
1103ms,1103,229.930,0.207183
1135ms,1135,229.963,0.207414
1167ms,1167,229.950,0.207030
1199ms,1199,229.728,0.207214
1231ms,1231,229.445,0.206695
1263ms,1263,228.939,0.206584
1296ms,1296,228.689,0.206515
1328ms,1328,228.824,0.206877
1375ms,1375,229.144,0.206788
1407ms,1407,229.142,0.206794
1439ms,1439,229.408,0.207760
1471ms,1471,229.363,0.207296
1503ms,1503,229.455,0.208161
1535ms,1535,229.629,0.207870
1567ms,1567,229.885,0.208376
1599ms,1599,230.126,0.208537
1631ms,1631,230.283,0.208850
1695ms,1695,230.392,0.208434
1743ms,1743,230.516,0.209177
1775ms,1775,230.651,0.208420
1807ms,1807,230.436,0.208644
1840ms,1840,230.544,0.208629
1872ms,1872,230.494,0.208603
1903ms,1903,230.525,0.208537
1936ms,1936,230.578,0.208612
1968ms,1968,230.536,0.208717
2031ms,2031,230.640,0.208377
2064ms,2064,230.508,0.208676
2111ms,2111,230.558,0.208811
2143ms,2143,230.509,0.208528
2175ms,2175,230.744,0.208809
2207ms,2207,230.368,0.208969
2239ms,2239,230.157,0.208509
