timestamp_ms,elapsed_ms,pix_dist,m_dist
0ms,0,224.615,0.192415
47ms,47,224.672,0.192522
79ms,79,224.780,0.192337
111ms,111,225.092,0.193083
144ms,144,225.227,0.192229
175ms,175,225.126,0.192548
208ms,208,225.353,0.192693
240ms,240,225.378,0.192613
271ms,271,225.650,0.192609
304ms,304,225.658,0.192802
367ms,367,227.151,0.193928
400ms,400,227.564,0.194504
447ms,447,227.621,0.194427
479ms,479,227.656,0.194808
511ms,511,227.660,0.194774
543ms,543,227.644,0.194923
576ms,576,227.614,0.194829
608ms,608,227.545,0.194814
639ms,639,227.601,0.194718
672ms,672,227.609,0.194799
703ms,703,227.685,0.194933
735ms,735,227.599,0.194598
768ms,768,227.650,0.194613
847ms,847,227.539,0.194558
879ms,879,227.254,0.194559
911ms,911,227.401,0.194967
943ms,943,227.836,0.195293
975ms,975,227.623,0.195236
1007ms,1007,227.460,0.194901
1039ms,1039,226.724,0.194641
1071ms,1071,226.518,0.194261
1103ms,1103,226.195,0.193539
1135ms,1135,225.957,0.194518
1183ms,1183,225.744,0.193965
1215ms,1215,226.073,0.193358
1247ms,1247,225.985,0.193621
1279ms,1279,225.642,0.194002
1311ms,1311,225.436,0.194210
1343ms,1343,225.317,0.193769
1375ms,1375,225.175,0.192958
1407ms,1407,224.994,0.192819
1439ms,1439,224.815,0.192428
1471ms,1471,224.909,0.192687
1503ms,1503,224.835,0.193212
1535ms,1535,225.135,0.193126
1583ms,1583,225.329,0.192809
1615ms,1615,225.257,0.192753
1647ms,1647,225.470,0.192400
1679ms,1679,225.541,0.192926
1711ms,1711,225.772,0.192931
1743ms,1743,226.084,0.193303
1775ms,1775,226.334,0.193057
1807ms,1807,226.865,0.193562
1839ms,1839,227.192,0.194059
1871ms,1871,227.674,0.194407
1903ms,1903,227.708,0.195098
1951ms,1951,227.931,0.195081
1983ms,1983,227.914,0.194781
2015ms,2015,227.929,0.194926
2047ms,2047,227.862,0.194773
2079ms,2079,227.866,0.194724
2111ms,2111,227.975,0.195023
2143ms,2143,227.840,0.194797
2175ms,2175,227.835,0.194886
2207ms,2207,227.936,0.195208
2239ms,2239,227.929,0.195070
2271ms,2271,227.884,0.194727
2319ms,2319,227.881,0.194877
2351ms,2351,227.812,0.195465
2383ms,2383,228.185,0.195273
2415ms,2415,228.010,0.195447
2447ms,2447,228.021,0.195173
2479ms,2479,227.335,0.195101
2511ms,2511,226.893,0.194967
2543ms,2543,226.456,0.194986
2575ms,2575,226.435,0.195268
2607ms,2607,226.012,0.195879
2639ms,2639,225.952,0.194438
2671ms,2671,225.915,0.194446
2719ms,2719,225.661,0.194877
2751ms,2751,225.772,0.194272
2783ms,2783,225.537,0.192942
2847ms,2847,225.507,0.193235
2879ms,2879,225.288,0.194192
2911ms,2911,225.160,0.193453
2943ms,2943,225.074,0.192947
2975ms,2975,225.011,0.192738
3007ms,3007,225.175,0.193307
3039ms,3039,225.167,0.192776
3087ms,3087,225.502,0.192810
3119ms,3119,225.516,0.192754
3151ms,3151,225.438,0.193088
3183ms,3183,225.699,0.192414
3215ms,3215,225.757,0.192789
3247ms,3247,225.861,0.193233
3279ms,3279,226.153,0.193251
3311ms,3311,226.815,0.193547
3343ms,3343,227.535,0.194713
3375ms,3375,227.848,0.194749
3407ms,3407,227.933,0.194752
3455ms,3455,227.912,0.194825
3487ms,3487,228.022,0.194933
3519ms,3519,228.008,0.194989
3551ms,3551,227.944,0.194954
3583ms,3583,228.006,0.194919
3615ms,3615,227.952,0.194903
3647ms,3647,228.005,0.194887
3679ms,3679,227.971,0.194935
3711ms,3711,227.943,0.194973
3743ms,3743,227.990,0.194931
3775ms,3775,227.962,0.195188
3807ms,3807,227.783,0.195083
3855ms,3855,227.737,0.195292
3887ms,3887,227.682,0.194809
3919ms,3919,228.018,0.195509
3951ms,3951,227.774,0.195401
3983ms,3983,227.467,0.195064
4015ms,4015,226.826,0.194746
4047ms,4047,226.234,0.194960
4079ms,4079,225.959,0.193644
4111ms,4111,225.927,0.193754
4143ms,4143,225.662,0.193841
4175ms,4175,225.536,0.193174
4223ms,4223,225.633,0.193546
4255ms,4255,225.493,0.194107
4287ms,4287,225.233,0.193682
4319ms,4319,225.344,0.193169
4351ms,4351,225.071,0.193303
4383ms,4383,224.916,0.193886
4415ms,4415,224.772,0.193064
4447ms,4447,224.679,0.192334
4479ms,4479,224.856,0.192849
4511ms,4511,224.885,0.192256
4543ms,4543,225.110,0.192670
4623ms,4623,225.540,0.192891
4655ms,4655,225.502,0.192572
4687ms,4687,225.541,0.193125
4719ms,4719,225.737,0.193007
4751ms,4751,225.752,0.192807
4783ms,4783,226.100,0.192889
4815ms,4815,226.922,0.193755
4847ms,4847,227.614,0.194593
4879ms,4879,227.801,0.194893
4911ms,4911,227.904,0.194804
4943ms,4943,227.949,0.194871
4991ms,4991,228.008,0.194987
5023ms,5023,228.046,0.194926
5055ms,5055,228.009,0.195195
5087ms,5087,227.944,0.195078
5119ms,5119,228.058,0.195266
5151ms,5151,227.959,0.194759
5183ms,5183,227.967,0.195115
5215ms,5215,227.983,0.195182
5247ms,5247,227.985,0.195239
5279ms,5279,227.951,0.194738
5359ms,5359,227.978,0.195251
5391ms,5391,228.000,0.195075
5423ms,5423,227.846,0.195281
5455ms,5455,227.596,0.195047
5487ms,5487,227.146,0.194494
5519ms,5519,226.735,0.194192
5551ms,5551,226.342,0.194598
5583ms,5583,225.777,0.193953
5615ms,5615,226.019,0.193559
5647ms,5647,225.711,0.193348
5679ms,5679,225.772,0.193305
5759ms,5759,225.470,0.193929
5791ms,5791,225.162,0.193765
5823ms,5823,225.188,0.193447
5855ms,5855,225.051,0.192910
5887ms,5887,224.842,0.193126
5919ms,5919,224.669,0.193122
5951ms,5951,224.974,0.192412
5983ms,5983,224.797,0.192620
6015ms,6015,225.018,0.192505
6047ms,6047,225.055,0.192486
6079ms,6079,225.283,0.192821
6127ms,6127,225.244,0.192500
6159ms,6159,225.376,0.192884
6191ms,6191,225.342,0.192821
6223ms,6223,225.586,0.192398
6255ms,6255,225.827,0.192225
6287ms,6287,226.293,0.193245
