timestamp_ms,elapsed_ms,pix_dist,m_dist
0ms,0,206.441,0.192742
33ms,33,206.441,0.192742
66ms,66,206.441,0.192742
100ms,100,206.441,0.192742
133ms,133,206.441,0.192742
166ms,166,206.441,0.192742
200ms,200,206.441,0.192742
233ms,233,206.441,0.192742
266ms,266,206.441,0.192742
300ms,300,206.441,0.192742
333ms,333,209.291,0.195833
366ms,366,209.291,0.195833
400ms,400,209.290,0.195835
433ms,433,209.320,0.195968
466ms,466,209.221,0.195838
500ms,500,209.235,0.195949
533ms,533,209.240,0.195834
566ms,566,209.302,0.195930
600ms,600,209.463,0.194890
633ms,633,209.198,0.195021
700ms,700,207.525,0.194636
733ms,733,206.796,0.192820
766ms,766,205.981,0.192374
800ms,800,205.785,0.191331
833ms,833,205.106,0.190694
866ms,866,205.036,0.190865
900ms,900,205.025,0.190779
933ms,933,205.247,0.189988
1033ms,1033,205.256,0.189850
1066ms,1066,205.075,0.189748
1100ms,1100,204.851,0.190427
1133ms,1133,204.725,0.189909
1166ms,1166,204.861,0.189516
1266ms,1266,204.911,0.190495
1300ms,1300,205.254,0.190292
1333ms,1333,205.364,0.190642
1366ms,1366,205.445,0.191259
1400ms,1400,205.899,0.191960
1433ms,1433,206.249,0.192345
1466ms,1466,206.372,0.192878
1600ms,1600,208.023,0.195213
1633ms,1633,208.322,0.194839
1666ms,1666,208.826,0.195282
1700ms,1700,209.182,0.195533
1733ms,1733,209.218,0.195906
1766ms,1766,209.361,0.196113
1800ms,1800,209.268,0.196323
1833ms,1833,209.270,0.196320
1866ms,1866,209.291,0.196291
1900ms,1900,209.293,0.196290
1933ms,1933,209.412,0.196027
1966ms,1966,209.410,0.196024
2000ms,2000,209.410,0.196016
2033ms,2033,209.323,0.195810
2066ms,2066,209.314,0.195949
2100ms,2100,209.126,0.195439
2133ms,2133,208.484,0.194991
2166ms,2166,207.799,0.194013
2200ms,2200,206.959,0.193151
2233ms,2233,206.325,0.192712
2266ms,2266,205.689,0.191571
2300ms,2300,205.273,0.191280
2333ms,2333,205.000,0.191205
2366ms,2366,204.838,0.190872
2400ms,2400,204.839,0.190431
2466ms,2466,205.102,0.190612
2566ms,2566,205.013,0.189896
2600ms,2600,204.810,0.190067
2633ms,2633,204.937,0.189152
2666ms,2666,204.946,0.189653
2733ms,2733,204.845,0.190316
2766ms,2766,205.191,0.189997
2800ms,2800,205.319,0.190819
2833ms,2833,205.354,0.191900
2866ms,2866,205.833,0.192539
2900ms,2900,206.139,0.192745
2933ms,2933,206.269,0.192290
2966ms,2966,206.646,0.192619
3066ms,3066,207.659,0.194871
3100ms,3100,208.366,0.194998
3133ms,3133,208.649,0.195713
3166ms,3166,209.149,0.195991
3200ms,3200,209.324,0.195708
3233ms,3233,209.362,0.195882
3266ms,3266,209.289,0.196070
3300ms,3300,209.256,0.196068
3333ms,3333,209.270,0.196087
3366ms,3366,209.259,0.196073
3400ms,3400,209.250,0.196083
3433ms,3433,209.234,0.196171
3466ms,3466,209.297,0.196095
3500ms,3500,209.322,0.196102
3533ms,3533,209.211,0.195652
3566ms,3566,209.482,0.195541
3600ms,3600,208.942,0.195561
3666ms,3666,207.045,0.193703
3699ms,3699,206.635,0.193092
3733ms,3733,205.825,0.192693
3766ms,3766,205.494,0.191656
3800ms,3800,205.076,0.190942
3833ms,3833,204.905,0.190599
3866ms,3866,205.054,0.190716
3900ms,3900,205.110,0.189354
3966ms,3966,205.248,0.190099
4000ms,4000,205.234,0.190016
4033ms,4033,205.069,0.189887
4066ms,4066,204.699,0.189680
4100ms,4100,204.743,0.189358
4133ms,4133,204.837,0.189654
4166ms,4166,205.058,0.190529
4233ms,4233,204.749,0.190157
4266ms,4266,205.321,0.191106
4300ms,4300,205.150,0.191034
4366ms,4366,205.917,0.193042
4400ms,4400,205.898,0.192412
4433ms,4433,206.361,0.193332
4466ms,4466,206.754,0.193405
4566ms,4566,207.814,0.194494
4600ms,4600,208.276,0.194347
4633ms,4633,208.732,0.195339
4666ms,4666,209.143,0.195241
4700ms,4700,209.267,0.195727
4733ms,4733,209.342,0.196172
4766ms,4766,209.356,0.196175
4800ms,4800,209.356,0.196175
4833ms,4833,209.377,0.196124
4866ms,4866,209.377,0.196131
4900ms,4900,209.340,0.196053
4933ms,4933,209.307,0.196012
4966ms,4966,209.308,0.196027
5000ms,5000,209.311,0.196044
5033ms,5033,209.316,0.195885
5066ms,5066,209.123,0.195359
5133ms,5133,208.068,0.195189
5166ms,5166,208.066,0.195189
5200ms,5200,207.021,0.193684
5233ms,5233,206.343,0.193034
5266ms,5266,205.868,0.191402
5300ms,5300,205.397,0.191722
5333ms,5333,204.967,0.190671
5366ms,5366,204.679,0.190436
5400ms,5400,204.763,0.190274
5433ms,5433,204.955,0.188723
5500ms,5500,205.184,0.189737
5533ms,5533,205.210,0.189922
5566ms,5566,204.999,0.189716
